artist_name,main_genre,genre_source,display_genre
.idk.,hip hop,musicbrainz,Hip-hop / Rap
070 Shake,alternative hip hop,musicbrainz,Hip-hop / Rap
2 Chainz,house,musicbrainz,Electronic / Dance
21 Savage,hip hop,musicbrainz,Hip-hop / Rap
4n Way,Person,musicbrainz,Other / Unknown
646yf4t,Person,musicbrainz,Other / Unknown
6ix9ine,drill,musicbrainz,Hip-hop / Rap
88-Keys,hip hop,musicbrainz,Hip-hop / Rap
93PUNX,Group,musicbrainz,Other / Unknown
A Tribe Called Quest,american,musicbrainz,Other / Unknown
A$AP Ferg,unknown,none,Other / Unknown
A$AP Mob,east coast hip hop,musicbrainz,Hip-hop / Rap
A$AP Rocky,rap,musicbrainz,Hip-hop / Rap
ABRA,alternative r&b,musicbrainz,R&B / Soul
AFROJACK,electronic,musicbrainz,Electronic / Dance
AWGE,Group,musicbrainz,Other / Unknown
Aaron Behrens,Person,musicbrainz,Other / Unknown
Aaron Dessner,ingénieur du son,musicbrainz,Other / Unknown
Aaron Rice,Person,musicbrainz,Other / Unknown
Aasim,Person,musicbrainz,Other / Unknown
Abstract Mindstate,Group,musicbrainz,Other / Unknown
Adam Levine,rock,musicbrainz,Rock / Alternative
Adam Melchor,contemporary folk,musicbrainz,Folk / Country
Adent,unknown,none,Other / Unknown
Aero Flynn,Person,musicbrainz,Other / Unknown
Agent Sasco (Assassin),unknown,none,Other / Unknown
Aj that block,unknown,none,Other / Unknown
Al Be Back,unknown,none,Other / Unknown
Al Green,soul,musicbrainz,R&B / Soul
Alabaster dePlume,Person,musicbrainz,Other / Unknown
Alex Ebert,unknown,none,Other / Unknown
Alison Krauss,country,musicbrainz,Folk / Country
Allan Kingdom,Person,musicbrainz,Other / Unknown
Aloe Blacc,soul,musicbrainz,R&B / Soul
"Alurgle, thrugle, burgle",unknown,none,Other / Unknown
Amaarae,afrobeats,musicbrainz,Global / Reggae
Ambré,alternative r&b,musicbrainz,R&B / Soul
Amy Wallace,unknown,none,Other / Unknown
Anderson .Paak,rap,musicbrainz,Hip-hop / Rap
André 3000,hip hop,musicbrainz,Hip-hop / Rap
Angel Bat Dawid,Person,musicbrainz,Other / Unknown
Anna (USA),unknown,none,Other / Unknown
Anna of the North,pop,musicbrainz,Pop
Annbjørg Lien,Person,musicbrainz,Other / Unknown
Annie Schindel,Person,musicbrainz,Other / Unknown
Ant Clemons,contemporary r&b,musicbrainz,R&B / Soul
Anuna,folk,musicbrainz,Folk / Country
Apple Music,unknown,none,Other / Unknown
Ariana Grande,pop,musicbrainz,Pop
Artists For Haiti,michael jackson,musicbrainz,Other / Unknown
Ashe,pop,musicbrainz,Pop
Ashton Travis,unknown,none,Other / Unknown
Audio Push,hip hop,musicbrainz,Hip-hop / Rap
Audrey Hobert,pop,musicbrainz,Pop
Auntie Fee,unknown,none,Other / Unknown
Azealia Banks,dance,musicbrainz,Electronic / Dance
B.o.B,rock,musicbrainz,Rock / Alternative
BADBADNOTGOOD,rap,musicbrainz,Hip-hop / Rap
BANKS,rap,musicbrainz,Hip-hop / Rap
BBY GOYARD,Person,musicbrainz,Other / Unknown
BET,latvian,musicbrainz,Other / Unknown
