source,target,weight,tracks
Bon Iver,Bizhiki,1,"WE (Xcel Energy Center, St Paul, MN. Oct 03 2019)"
Bon Iver,Cole Davis,1,I Want You Gone
Bon Iver,Daniel Caesar,2,Moon; Sins of The Father
Bon Iver,Danielle Haim,1,If Only I Could Wait
Bon Iver,Dijon,1,Day One
Bon Iver,Dua Saleh,3,Flood; Glow; Keep Away
Bon Iver,Ethan Gruska,1,So Unimportant
Bon Iver,Flock of Dimes,1,Day One
Bon Iver,Francis and the Lights,4,Friends; METTA WORLD PEACE; Take Me to the Light; You Still Take Me To the Light
Bon Iver,Frank Ocean,1,Coral
Bon Iver,Gracie Abrams,1,Sold Out
Bon Iver,HAIM,1,Tie you down
Bon Iver,Ilsey,2,Heart of Gold; On Wrong Side
Bon Iver,James Blake,2,Fall Creek Boys Choir; I Need a Forest Fire
Bon Iver,Jim-E Stack,1,Jeanie
Bon Iver,Kanye West,11,333; Can’t Get Over Me; Fine Line; Hell Of A Life (Original); Lost In the World; Monster; Prayer; See Me Again [V10]; See Me Again [V4]; Shoot Up The Station; Take Me To The Light [V6]
Bon Iver,Lil Animus,1,I Cant
Bon Iver,Lonnie Holley,1,Kindness Will Follow Your Tears
Bon Iver,Rob Moose,1,Marvel Room
Bon Iver,Ross Gay,1,Catalog of Unabashed Gratitude
Bon Iver,Taylor Swift,3,evermore; exile; exile (the long pond studio sessions)
Bon Iver,The Chieftains,1,Down in the Willow Garden
Bon Iver,The Flaming Lips,1,Ashes in the Air
Bon Iver,The National,1,Weird Goodbyes
Bon Iver,The Pastelle Collective (Yedits),2,Shoot Up; That’s My Bitch
Bon Iver,Travis Scott,1,DELRESTO (ECHOES) [Original]
Bon Iver,Ye,1,Prayer
Bon Iver,Zach Bryan,1,Boys Of Faith
Bon Iver,salute,1,Feel the Same / I Need a Forest Fire (Mixed)
