track_title,album,release_year,song_id,genius_url,source_artist,target_artist,role
$$$ Signs,,2010.0,654225,https://genius.com/Juicy-j-and-lex-luger-signs-lyrics,Juicy J,Rick Ross,featured
$WISH,,2023.0,9019116,https://genius.com/Vic-mensa-wish-lyrics,VIC MENSA,G-Eazy,featured
$WISH,,2023.0,9019116,https://genius.com/Vic-mensa-wish-lyrics,VIC MENSA,Chance the Rapper,featured
$ave Dat Money,,2015.0,2023647,https://genius.com/Lil-dicky-ave-dat-money-lyrics,Lil Dicky,Rich Homie Quan,featured
$hut Up!!!,,2013.0,191232,https://genius.com/Trinidad-james-hut-up-lyrics,Trinidad James,Travis Scott,featured
* x,,,9706475,https://genius.com/88-keys-x-lyrics,88-Keys,G-Eazy,featured
* x,,,9706475,https://genius.com/88-keys-x-lyrics,88-Keys,.idk.,featured
* x,,,9706475,https://genius.com/88-keys-x-lyrics,88-Keys,Anderson .Paak,featured
.Wav Radio Freestyle,,2016.0,2928515,https://genius.com/Migos-wav-radio-freestyle-lyrics,Migos,Travis Scott,featured
1 Thing About Me,,,2016798,https://genius.com/Travis-scott-1-thing-about-me-lyrics,Travis Scott,Meek Mill,featured
1-900-Hustler,,2000.0,24439,https://genius.com/Jay-z-beanie-sigel-and-memphis-bleek-1-900-hustler-lyrics,JAŸ-Z,Freeway,featured
10 Summaz,,2011.0,215204,https://genius.com/2-chainz-10-summaz-lyrics,2 Chainz,Rick Ross,featured
100 Bottles,,2014.0,365455,https://genius.com/Low-pros-100-bottles-lyrics,Low Pros,Travis Scott,featured
100 Keys,,2011.0,51372,https://genius.com/Big-sean-100-keys-lyrics,Big Sean,Pusha T,featured
100 Keys,,2011.0,51372,https://genius.com/Big-sean-100-keys-lyrics,Big Sean,Rick Ross,featured
100 Most Influential People In The World: Jay-Z,,,141330,https://genius.com/Time-magazine-100-most-influential-people-in-the-world-jay-z-lyrics,TIME Magazine,JAŸ-Z,featured
100 Years Now,,,4023027,https://genius.com/Kanye-west-100-years-now-lyrics,Kanye West,Justin Bieber,featured
100 Years Now,,,4023027,https://genius.com/Kanye-west-100-years-now-lyrics,Kanye West,Post Malone,featured
10k HRS & A DREAM,,2016.0,10860701,https://genius.com/Kanye-west-10k-hrs-and-a-dream-lyrics,Kanye West,OG Maco,featured
10s and Up,,2014.0,5711977,https://genius.com/Travis-scott-10s-and-up-lyrics,Travis Scott,Burroughs T,featured
"12,000 Acres (FXXXXY Reference)",,,9513007,https://genius.com/Kanye-west-12000-acres-fxxxxy-reference-lyrics,Kanye West,FXXXXY,featured
18 Years,,2005.0,3187721,https://genius.com/Kanye-west-18-years-lyrics,Kanye West,Yasiin Bey,featured
187th,,2009.0,10494843,https://genius.com/Kanye-west-187th-lyrics,Kanye West,Go Getters,featured
1989 Interview with Paul McGuire,,2014.0,3820840,https://genius.com/Taylor-swift-1989-interview-with-paul-mcguire-annotated,Taylor Swift,Paul McGuire (CMT),featured
2 Fucks,,2013.0,149629,https://genius.com/Hustle-gang-2-fucks-lyrics,Hustle Gang,T.I.,featured
2 Fucks,,2013.0,149629,https://genius.com/Hustle-gang-2-fucks-lyrics,Hustle Gang,Travis Scott,featured
2 Fucks,,2013.0,149629,https://genius.com/Hustle-gang-2-fucks-lyrics,Hustle Gang,Trae tha Truth,featured
2 Fucks,,2013.0,149629,https://genius.com/Hustle-gang-2-fucks-lyrics,Hustle Gang,B.o.B,featured
2 Many Chances,,2018.0,8570764,https://genius.com/Traydaysadd-2-many-chances-lyrics,TrayDaySADD,Travis Scott,featured
2002 Funk Flex Freestyle / Back from France Freestyle,,2002.0,58359,https://genius.com/Jay-z-2002-funk-flex-freestyle-back-from-france-freestyle-lyrics,JAŸ-Z,DJ Clue,featured
2009 BET Hip Hop Awards - Cypher 1,,2009.0,49250,https://genius.com/Bet-2009-bet-hip-hop-awards-cypher-1-lyrics,BET,Nicki Minaj,featured
