song_id,review_status,track_title,release_year,bridge_artist,second_hop_artist,primary_artist_from_source,credited_artist_from_source,credited_role_from_source,genius_url,automated_flags,review_notes
10445026,pending,Gigawaabamin (Come Through),2024,Bizhiki,Mike Sullivan,Bizhiki,Mike Sullivan,featured,https://genius.com/Bizhiki-gigawaabamin-come-through-lyrics,,
12471804,pending,Broke The Handle Off,2025,Cole Davis,Aaron Rice,Cole Davis,Aaron Rice,featured,https://genius.com/Cole-davis-broke-the-handle-off-lyrics,,
12471798,pending,Miracle,2025,Cole Davis,Channy Leaneagh,Cole Davis,Channy Leaneagh,featured,https://genius.com/Cole-davis-miracle-lyrics,,
12471800,pending,Gulls,2025,Cole Davis,CJ Camerieri,Cole Davis,CJ Camerieri,featured,https://genius.com/Cole-davis-gulls-lyrics,,
12471802,pending,Tooth And Nail,2025,Cole Davis,KINFU,Cole Davis,KINFU,featured,https://genius.com/Cole-davis-tooth-and-nail-lyrics,,
12471801,pending,Backseat Driver,2025,Cole Davis,papa mbye,Cole Davis,papa mbye,featured,https://genius.com/Cole-davis-backseat-driver-lyrics,,
12316982,pending,No More Loving (On Women I Don’t Love),2025,Daniel Caesar,646yf4t,Daniel Caesar,646yf4t,featured,https://genius.com/Daniel-caesar-no-more-loving-on-women-i-dont-love-lyrics,,
2342908,pending,Paradise,2015,Daniel Caesar,BADBADNOTGOOD,Daniel Caesar,BADBADNOTGOOD,featured,https://genius.com/Daniel-caesar-paradise-lyrics,,
7911508,pending,Please Do Not Lean,2022,Daniel Caesar,BADBADNOTGOOD,Daniel Caesar,BADBADNOTGOOD,featured,https://genius.com/Daniel-caesar-please-do-not-lean-lyrics,,
11892843,pending,Mr. Nice Guy,,Daniel Caesar,Bakar,Daniel Caesar,Bakar,featured,https://genius.com/Daniel-caesar-mr-nice-guy-lyrics,missing_release_year,
11916227,pending,The Field,2025,Daniel Caesar,Blood Orange,Blood Orange,Daniel Caesar,featured,https://genius.com/Blood-orange-the-field-lyrics,,
12316979,pending,Touching God,2025,Daniel Caesar,Blood Orange,Daniel Caesar,Blood Orange,featured,https://genius.com/Daniel-caesar-touching-god-lyrics,,
7393492,pending,Pets,,Daniel Caesar,Chance the Rapper,Chance the Rapper,Daniel Caesar,featured,https://genius.com/Chance-the-rapper-pets-lyrics,missing_release_year,
3250389,pending,First World Problems,2017,Daniel Caesar,Chance the Rapper,Chance the Rapper,Daniel Caesar,featured,https://genius.com/Chance-the-rapper-first-world-problems-lyrics,,
5507220,pending,Instagram Song 3,2020,Daniel Caesar,Chance the Rapper,Chance the Rapper,Daniel Caesar,featured,https://genius.com/Chance-the-rapper-instagram-song-3-lyrics,,
3183204,pending,Transform,2017,Daniel Caesar,Charlotte Day Wilson,Daniel Caesar,Charlotte Day Wilson,featured,https://genius.com/Daniel-caesar-transform-lyrics,,
13402297,pending,Easy Breezy,,Daniel Caesar,Clairo,Daniel Caesar,Clairo,featured,https://genius.com/Daniel-caesar-easy-breezy-lyrics,missing_release_year,
12106718,pending,No Need to Worry,2025,Daniel Caesar,Clairo,Daniel Caesar,Clairo,featured,https://genius.com/Daniel-caesar-no-need-to-worry-lyrics,,
4627717,pending,HER Love,2019,Daniel Caesar,Common,Common,Daniel Caesar,featured,https://genius.com/Common-her-love-lyrics,,
2433806,pending,Come Through,2016,Daniel Caesar,Donnie (CAN),Donnie (CAN),Daniel Caesar,featured,https://genius.com/Donnie-can-come-through-lyrics,,
8982651,pending,Life of the Party,2019,Daniel Caesar,Donnie (CAN),Donnie (CAN),Daniel Caesar,featured,https://genius.com/Donnie-can-life-of-the-party-lyrics,,
12400675,pending,Coming Down,,Daniel Caesar,Ellie Goulding,Daniel Caesar,Ellie Goulding,featured,https://genius.com/Daniel-caesar-coming-down-lyrics,missing_release_year,
7565094,pending,careless,2022,Daniel Caesar,FKA twigs,FKA twigs,Daniel Caesar,featured,https://genius.com/Fka-twigs-careless-lyrics,,
8854180,pending,Sweet*,,Daniel Caesar,Fousheé,Daniel Caesar,Fousheé,featured,https://genius.com/Daniel-caesar-sweet-lyrics,missing_release_year,
4006872,pending,Beauty & Essex,2018,Daniel Caesar,Free Nationals,Free Nationals,Daniel Caesar,featured,https://genius.com/Free-nationals-beauty-and-essex-lyrics,,
3183199,pending,Best Part,2017,Daniel Caesar,H.E.R.,Daniel Caesar,H.E.R.,featured,https://genius.com/Daniel-caesar-best-part-lyrics,,
9936608,pending,Best Part (Mixed),2023,Daniel Caesar,H.E.R.,Daniel Caesar,H.E.R.,featured,https://genius.com/Daniel-caesar-best-part-mixed-lyrics,mix_or_compilation_risk,
4660979,pending,RESTORE THE FEELING,2019,Daniel Caesar,Jacob Collier,Daniel Caesar,Jacob Collier,featured,https://genius.com/Daniel-caesar-restore-the-feeling-lyrics,,
5059926,pending,Time Alone with You,2019,Daniel Caesar,Jacob Collier,Jacob Collier,Daniel Caesar,featured,https://genius.com/Jacob-collier-time-alone-with-you-lyrics,,
3606431,pending,"Figures, a Reprise",2018,Daniel Caesar,Jessie Reyez,Jessie Reyez,Daniel Caesar,featured,https://genius.com/Jessie-reyez-figures-a-reprise-lyrics,,
8982575,pending,God,2015,Daniel Caesar,JIIN,JIIN,Daniel Caesar,featured,https://genius.com/Jiin-god-lyrics,,
